Nome_Completo,Valor_Total_Declarado
EDUARDO PROTÁZIO FILGUEIRAS,16923.720000000005
ESTANISLEY DO NASCIMENTO CORRÊA,16909.9
ISAAC DIAS DOS SANTOS,16900.0
DAVID QUINTERO SALOMÃO,16843.089999999997
MARLONY LARA FERREIRA SANTOS,16825.72
THAIS MIRANDA DO NASCIMENTO,16791.8
ORLESSANDRA AMARAL SANTANA,16708.71
GIRLAN PEREIRA DA SILVA,16700.0
LUIZ CARLOS SERAFIM DO NASCIMENTO,16690.0
ALESSANDRO MARQUES DE ALMEIDA,16679.229999999996
ISRAEL PEREIRA BARROS,16594.269999999997
JULIÃO DE MIRANDA HENRIQUES NETO,16550.0
MARLISON CARLOS SOUZA DA SILVA,16510.0
JOCIANE DE JESUS BITENCOURT DIAS,16472.13
VALDIR GONÇALVES NASCIMENTO,16437.0
MARIA JOSELI MOREIRA DE JESUS,16436.190000000006
JOÃO LUCIMAR BORGES,16389.9
HELDER SIDNEY DIAS CABRAL JUNIOR,16264.0
RODRIGO RICHARD BARBOSA COSTA,16250.0
JAIRO LUIS DE ARAUJO MOURA,16250.0
VANIA NASCIMENTO DA SILVA,16245.76
JOSÉ RUFINO COSTA DOS SANTOS,16220.0
CARMELINA FELIX DE MORAES BRANDAO,16216.55
ITACY DIAS DOMINGUES,16200.0
MARIA BERNADETE BESSA DO NASCIMENTO,16161.9
IVONNELSON ALVES SOARES,16100.0
MOACIR IRAN NASCIMENTO MORAES FILHO,16050.0
JOSE VIEIRA DE ALMEIDA,16007.0
WALFIR ARAUJO PEREIRA,16000.0
JOÃO BATISTA SILVA NUNES,16000.0
MARIA HELOISA CARVALHO ROCHA,16000.0
ELISANGELA OLIVEIRA ALVES,15991.0
MARCUS VINÍCIUS DIAS FIGUEIREDO,15983.75
ANTONIO CLAUDIO PEREIRA CAIADO,15983.29
JOSE NILSON LOPES DA SILVA,15913.5
ROSANA DA CONCEIÇÃO DAMASCENO BRAGA,15901.6
MARCIEL SARAIVA DE ALMEIDA,15900.0
ANTONIO LEITE DE OLIVEIRA,15890.0
EDSON FERREIRA DE SOUZA,15788.159999999998
MARCILENE BARBOSA MARTINS,15744.0
FRANCINEI SOUSA DE ANDRADE,15697.71
SIMÃO DA SILVA VITALINO,15691.690000000004
EFRAIN NONATO SILVA DE SOUSA,15634.4
ARLAN FERREIRA COSTA,15533.05
EVA DE ARAUJO ABREU,15527.670000000002
LUIS FERNANDO CARVALHO LIMA,15527.330000000004
ARI DA SILVA FIGUEIREDO,15500.0
WAGNER MORGAN LOPES,15500.0
ALECIO STRINGARI,15500.0
PAULO COSTA SILVA,15499.999999999998
MARCOS VENICIUS DUARTE SOUZA,15480.0
SIMONE CAVALCANTE SILVA,15450.0
ELVIS SILVA CRUZ,15349.91
LUIS AFONSO BRANDAO DE OLIVEIRA,15315.9
GEAN DIAS RAMALHO,15211.050000000001
RAIMUNDO VALRY DE MORAIS,15197.0
SAMUEL TADEU LIMA AFLALO,15186.39
MARIA DE ALMEIDA SILVA,15160.36
ANTONIO ROSENILDO AGUIAR DE SOUZA,15150.0
MANOEL RODRIGUES DE SOUSA,15119.0
ÂNDRYA DE PAULA DE SOUZA GAMA GUEDES,15050.0
MARCIO RODRIGUES DOS SANTOS,15000.000000000004
JUSCELINO DE SOUSA RAMOS,15000.0
KATIUSCIA CUNHA MENDONCA,15000.0
MARCIENE DO NASCIMENTO MATOS,15000.0
ZENILDA BARROS DE JESUS RODRIGUES,15000.0
EBIA REGINA MENDANHA DA COSTA,15000.0
ADBE AFONSO ACRUX,15000.0
CARLOS EDUARDO OLIVEIRA DA SILVA,15000.0
ELIZABETH CARVALHO DE MELO,15000.0
VELBER AUGUSTO PANTOJA CONCEIÇÃO,15000.0
LUCILENE NASCIMENTO BEGOT DOS SANTOS,14998.8
ADRIANA COSTA DA FONSECA,14916.0
CRISTIANO SILVA LOPES,14900.5
VALDIR SOARES DE MOURA,14799.3
JUCIANE RODRIGUES MIRANDA,14770.0
DENILSON RODRIGUES AMORIM,14750.29
BEATRIZ INES LISBOA DA SILVA,14724.55
MARTA ADRIANI TORRES DA SILVA,14705.4
MARIA ALBANICE LEAL DIAS,14620.400000000001
EDIVAN MARQUES DE PAULA,14605.0
RONISTEU DA SILVA ARAÚJO,14604.200000000004
RAIMISON ANTONIO DE ABREU SANTOS,14558.0
VINICIO DA SILVA NASCIMENTO,14544.269999999999
ANTONIO HORÁCIO MARTINS FILHO,14520.0
ZULENE DOS SANTOS ARAUJO,14469.45
TATIANE HELENA SOARES COELHO,14451.390000000001
MARIA JOSE GOMES PEREIRA,14446.71
CAROLINA PEREIRA ARRUDA DA COSTA,14424.02
ELZIANE SILVEIRA DA SILVA,14420.0
LAYNA KELL COELHO LOPES,14407.800000000001
ANDRÉ LUÍS ASSUNÇÃO DE FARIAS,14355.779999999999
CATARINA CHAVES VIEIRA,14280.0
RANGEL CRUZ MORAES,14275.609999999997
VANDERSON GARCIA FERREIRA,14200.0
ANTONIO DE OLIVEIRA SILVA,14164.9
FRANCISCO ASSIS DA SILVA GOMES,14151.27
MARCOS ANTONIO CARDOSO LOBATO,14104.0
ANDRÉA SILVA SALUSTIANO,14033.0
ILKER MORAES FERREIRA,14000.0
BARBARA LUANA CHAVES DE SOUZA,14000.0
SIMONE CAROLE CAMPELO KAHWAGE DOS SANTOS,14000.0
IRANELMA BARBOSA COSTA,14000.0
HELENA DA CONSOLAÇÃO MILAGRE,13994.0
MARIA CRISTINA BARROS ROLLO,13975.380000000001
HESIO MOREIRA,13900.000000000002
WALDEMIRO ASSIS GOMES NEGREIROS,13892.0
JOAQUINA DA SILVA ARAUJO,13832.69
ETEVALDO PEREIRA LIMA,13787.07
FÁBIO ALVES AMARANTE,13700.0
JANDER ILSON PEREIRA,13690.12
ALEXANDRE ALMEIDA MADURO,13676.35
IBERÊ GOMES MIRANDA,13666.66
PAULO RONILDO DIAS FURTADO,13664.35
JOSÉ ORLANDO LIMA DE MORAIS,13662.5
ANTÔNIO LAEX DOS SANTOS RODRIGUES,13594.0
LUCIRLENE CASSIA DO AMARAL,13550.0
EZEQUIEL VIEGAS DO REGO,13548.62
NEIBA NUNES DIAS,13537.000000000002
MARIA DE FATIMA SANTOS DE SOUSA,13440.6
